BubbleSort2-Cresc,BubbleSort2-Decresc,BubbleSort2-Aleatorio,BubbleSort-Cresc,BubbleSort-Decresc,BubbleSort-Aleatorio,SelectionSort-Cresc,SelectionSort-Decresc,SelectionSort-Aleatorio,
0,0,0,0,0,0,0,0,0,
1,3,1,2,2,2,2,2,2,
2,9,2,5,5,5,5,5,5,
3,18,8,9,9,9,9,9,9,
4,30,9,14,14,14,14,14,14,
5,45,42,20,20,20,20,20,20,
6,63,46,27,27,27,27,27,27,
7,84,64,35,35,35,35,35,35,
8,108,44,44,44,44,44,44,44,
9,135,115,54,54,54,54,54,54,
10,165,119,65,65,65,65,65,65,
11,198,95,77,77,77,77,77,77,
12,234,182,90,90,90,90,90,90,
13,273,152,104,104,104,104,104,104,
14,315,207,119,119,119,119,119,119,
15,360,226,135,135,135,135,135,135,
16,408,260,152,152,152,152,152,152,
17,459,307,170,170,170,170,170,170,
18,513,329,189,189,189,189,189,189,
19,570,424,209,209,209,209,209,209,
20,630,484,230,230,230,230,230,230,
21,693,466,252,252,252,252,252,252,
22,759,640,275,275,275,275,275,275,
23,828,567,299,299,299,299,299,299,
24,900,583,324,324,324,324,324,324,
25,975,656,350,350,350,350,350,350,
26,1053,742,377,377,377,377,377,377,
27,1134,832,405,405,405,405,405,405,
28,1218,971,434,434,434,434,434,434,
29,1305,984,464,464,464,464,464,464,
30,1395,994,495,495,495,495,495,495,
31,1488,1205,527,527,527,527,527,527,
32,1584,1115,560,560,560,560,560,560,
33,1683,1299,594,594,594,594,594,594,
34,1785,1145,629,629,629,629,629,629,
35,1890,1523,665,665,665,665,665,665,
36,1998,1062,702,702,702,702,702,702,
37,2109,1545,740,740,740,740,740,740,
38,2223,1666,779,779,779,779,779,779,
39,2340,1421,819,819,819,819,819,819,
40,2460,1561,860,860,860,860,860,860,
41,2583,1864,902,902,902,902,902,902,
42,2709,1766,945,945,945,945,945,945,
43,2838,1960,989,989,989,989,989,989,
44,2970,2478,1034,1034,1034,1034,1034,1034,
45,3105,2282,1080,1080,1080,1080,1080,1080,
46,3243,2494,1127,1127,1127,1127,1127,1127,
47,3384,2356,1175,1175,1175,1175,1175,1175,
48,3528,2683,1224,1224,1224,1224,1224,1224,
49,3675,2839,1274,1274,1274,1274,1274,1274,
50,3825,2850,1325,1325,1325,1325,1325,1325,
51,3978,2994,1377,1377,1377,1377,1377,1377,
52,4134,3142,1430,1430,1430,1430,1430,1430,
53,4293,3172,1484,1484,1484,1484,1484,1484,
54,4455,3516,1539,1539,1539,1539,1539,1539,
55,4620,3224,1595,1595,1595,1595,1595,1595,
56,4788,3532,1652,1652,1652,1652,1652,1652,
57,4959,3777,1710,1710,1710,1710,1710,1710,
58,5133,4046,1769,1769,1769,1769,1769,1769,
59,5310,4132,1829,1829,1829,1829,1829,1829,
60,5490,3349,1890,1890,1890,1890,1890,1890,
61,5673,4045,1952,1952,1952,1952,1952,1952,
62,5859,4592,2015,2015,2015,2015,2015,2015,
63,6048,4615,2079,2079,2079,2079,2079,2079,
64,6240,4807,2144,2144,2144,2144,2144,2144,
65,6435,4056,2210,2210,2210,2210,2210,2210,
66,6633,5214,2277,2277,2277,2277,2277,2277,
67,6834,5737,2345,2345,2345,2345,2345,2345,
68,7038,5223,2414,2414,2414,2414,2414,2414,
69,7245,5101,2484,2484,2484,2484,2484,2484,
70,7455,5331,2555,2555,2555,2555,2555,2555,
71,7668,5789,2627,2627,2627,2627,2627,2627,
72,7884,5873,2700,2700,2700,2700,2700,2700,
73,8103,6423,2774,2774,2774,2774,2774,2774,
74,8325,6396,2849,2849,2849,2849,2849,2849,
75,8550,5582,2925,2925,2925,2925,2925,2925,
76,8778,6196,3002,3002,3002,3002,3002,3002,
77,9009,6347,3080,3080,3080,3080,3080,3080,
78,9243,7145,3159,3159,3159,3159,3159,3159,
79,9480,7679,3239,3239,3239,3239,3239,3239,
80,9720,6124,3320,3320,3320,3320,3320,3320,
81,9963,7991,3402,3402,3402,3402,3402,3402,
82,10209,8267,3485,3485,3485,3485,3485,3485,
83,10458,8210,3569,3569,3569,3569,3569,3569,
84,10710,7713,3654,3654,3654,3654,3654,3654,
85,10965,7905,3740,3740,3740,3740,3740,3740,
86,11223,9228,3827,3827,3827,3827,3827,3827,
87,11484,7988,3915,3915,3915,3915,3915,3915,
88,11748,8370,4004,4004,4004,4004,4004,4004,
89,12015,9161,4094,4094,4094,4094,4094,4094,
90,12285,9824,4185,4185,4185,4185,4185,4185,
91,12558,10124,4277,4277,4277,4277,4277,4277,
92,12834,10130,4370,4370,4370,4370,4370,4370,
93,13113,10314,4464,4464,4464,4464,4464,4464,
94,13395,9537,4559,4559,4559,4559,4559,4559,
95,13680,9420,4655,4655,4655,4655,4655,4655,
96,13968,11226,4752,4752,4752,4752,4752,4752,
97,14259,11531,4850,4850,4850,4850,4850,4850,
98,14553,11029,4949,4949,4949,4949,4949,4949,
99,14850,11525,5049,5049,5049,5049,5049,5049,
